team_number,colour_number,colour
0,0,Maroon
0,1,Gold
1,0,#9FDA41
1,1,White
1,2,#0E2D5C
2,0,#000099
2,1,White
3,0,Skyblue
3,1,White
3,2,Black
4,0,dodgerblue
4,1,Gold
4,2,White
5,0,#62003D
5,1,White
6,0,#440085
6,1,#092340
6,2,White
6,3,#FED102
7,0,#033395
7,1,Red
7,2,White
8,0,navy
8,1,green
8,2,red
8,3,white
9,0,Navy
9,1,Gold
9,2,White
10,0,#3260ba
10,1,Gold
11,0,black
11,1,red
11,2,yellow
11,3,green
12,0,Red
12,1,Green
12,2,White
12,3,#ffc423
12,4,Silver
12,5,#98FB98
12,6,#ebc2af
13,0,White
13,1,Red
14,0,Red
14,1,White
14,2,#00305E
15,0,Black
15,1,White
15,2,#fc7e00
16,0,#FC141D
16,1,White
16,2,#E4CC7A
