team_number,team_name,team_link
0,Brisbane Broncos,"<a href=""/wiki/Brisbane_Broncos"" title=""Brisbane Broncos"">Brisbane Broncos</a>"
1,Canberra Raiders,"<a href=""/wiki/Canberra_Raiders"" title=""Canberra Raiders"">Canberra Raiders</a>"
2,Canterbury-Bankstown Bulldogs,"<a href=""/wiki/Canterbury-Bankstown_Bulldogs"" title=""Canterbury-Bankstown Bulldogs"">Canterbury-Bankstown Bulldogs</a>"
3,Cronulla-Sutherland Sharks,"<a href=""/wiki/Cronulla-Sutherland_Sharks"" title=""Cronulla-Sutherland Sharks"">Cronulla-Sutherland Sharks</a>"
4,Gold Coast Titans,"<a href=""/wiki/Gold_Coast_Titans"" title=""Gold Coast Titans"">Gold Coast Titans</a>"
5,Manly Warringah Sea Eagles,"<a href=""/wiki/Manly_Warringah_Sea_Eagles"" title=""Manly Warringah Sea Eagles"">Manly Warringah Sea Eagles</a>"
6,Melbourne Storm,"<a href=""/wiki/Melbourne_Storm"" title=""Melbourne Storm"">Melbourne Storm</a>"
7,Newcastle Knights,"<a href=""/wiki/Newcastle_Knights"" title=""Newcastle Knights"">Newcastle Knights</a>"
8,New Zealand Warriors,"<a href=""/wiki/New_Zealand_Warriors"" title=""New Zealand Warriors"">New Zealand Warriors</a>"
9,North Queensland Cowboys,"<a href=""/wiki/North_Queensland_Cowboys"" title=""North Queensland Cowboys"">North Queensland Cowboys</a>"
10,Parramatta Eels,"<a href=""/wiki/Parramatta_Eels"" title=""Parramatta Eels"">Parramatta Eels</a>"
11,Penrith Panthers,"<a href=""/wiki/Penrith_Panthers"" title=""Penrith Panthers"">Penrith Panthers</a>"
12,South Sydney Rabbitohs,"<a href=""/wiki/South_Sydney_Rabbitohs"" title=""South Sydney Rabbitohs"">South Sydney Rabbitohs</a>"
13,St. George Illawarra Dragons,"<a href=""/wiki/St._George_Illawarra_Dragons"" title=""St. George Illawarra Dragons"">St. George Illawarra Dragons</a>"
14,Sydney Roosters,"<a href=""/wiki/Sydney_Roosters"" title=""Sydney Roosters"">Sydney Roosters</a>"
15,Wests Tigers,"<a href=""/wiki/Wests_Tigers"" title=""Wests Tigers"">Wests Tigers</a>"
16,Dolphins (NRL),"<a href=""/wiki/Dolphins_(NRL)"" title=""Dolphins (NRL)"">Dolphins</a>"
